StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
D ST NW,38.89480224944835,-77.02145555344205,D ST NW,38.89434268925429,-77.04060116485546,167.38
D ST NW,38.89434268925429,-77.04060116485546,D ST NW,38.89478832697635,-77.01262675414213,162.31
D ST NW,38.89478832697635,-77.01262675414213,E ST NW,38.896018191733845,-77.04660445067255,447.94
E ST NW,38.896018191733845,-77.04660445067255,E ST NW,38.8953869134379,-77.03927105064759,229.92
E ST NW,38.8953869134379,-77.03927105064759,E ST NW,38.896136669655974,-77.01935138926346,273.07
E ST NW,38.896136669655974,-77.01935138926346,F ST NW,38.8973460927271,-77.0108060893037,440.49
F ST NW,38.8973460927271,-77.0108060893037,F ST NW,38.8973465637911,-77.01441479266971,0.17
F ST NW,38.8973465637911,-77.01441479266971,F ST NW,38.89733479537781,-77.02440829321237,4.29
F ST NW,38.89733479537781,-77.02440829321237,F ST NW,38.897361467274074,-77.04480885397719,9.71
F ST NW,38.897361467274074,-77.04480885397719,G ST NW,38.89832856227262,-77.04580978326885,352.23
G ST NW,38.89832856227262,-77.04580978326885,G ST NW,38.89834750861812,-77.02776810547317,6.9
G ST NW,38.89834750861812,-77.02776810547317,G ST NW,38.89833167495381,-77.01728637264131,5.77
G ST NW,38.89833167495381,-77.01728637264131,G ST NW,38.89831328945352,-77.011702464525,6.7
G ST NW,38.89831328945352,-77.011702464525,H ST NW,38.90022413347882,-77.0126376338472,695.96
H ST NW,38.90022413347882,-77.0126376338472,H ST NW,38.90000080697209,-77.02931518035106,81.34
H ST NW,38.90000080697209,-77.02931518035106,H ST NW,38.899585643695666,-77.04765355593152,151.21
H ST NW,38.899585643695666,-77.04765355593152,I ST NW,38.90133172538182,-77.0173275367426,635.95
I ST NW,38.90133172538182,-77.0173275367426,I ST NW,38.901327854526095,-77.01236344890607,1.41
I ST NW,38.901327854526095,-77.01236344890607,I ST NW,38.900695756903154,-77.0560783845923,230.22
I ST NW,38.900695756903154,-77.0560783845923,I ST NW,38.90070181383285,-77.05307246292145,2.21
I ST NW,38.90070181383285,-77.05307246292145,I ST NW,38.900873427306436,-77.02261249251282,62.5
I ST NW,38.900873427306436,-77.02261249251282,I ST NW,38.90134416324842,-77.03657632618199,171.45
I ST NW,38.90134416324842,-77.03657632618199,I ST NW,38.90070269975825,-77.04751621737556,233.63
I ST NW,38.90070269975825,-77.04751621737556,K ST NW,38.9025467885978,-77.05110528232542,671.65
K ST NW,38.9025467885978,-77.05110528232542,K ST NW,38.9026589801744,-77.05312476152456,40.86
K ST NW,38.9026589801744,-77.05312476152456,K ST NW,38.90240422926208,-77.05310260925278,92.78
K ST NW,38.90240422926208,-77.05310260925278,K ST NW,38.902410324064405,-77.0441182162461,2.22
K ST NW,38.902410324064405,-77.0441182162461,K ST NW,38.90264951899715,-77.0384277655289,87.12
K ST NW,38.90264951899715,-77.0384277655289,K ST NW,38.902530991899994,-77.03897998842315,43.17
K ST NW,38.902530991899994,-77.03897998842315,K ST NW,38.90210512682709,-77.02295435913264,155.11
K ST NW,38.90210512682709,-77.02295435913264,K ST NW,38.90253215813276,-77.03654616031815,155.53
K ST NW,38.90253215813276,-77.03654616031815,K ST NW,38.902526144632695,-77.01549326410752,2.19
K ST NW,38.902526144632695,-77.01549326410752,K ST NW,38.9024206054006,-77.03655098413374,38.44
K ST NW,38.9024206054006,-77.03655098413374,K ST NW,38.902423037810145,-77.02885627133867,0.89
K ST NW,38.902423037810145,-77.02885627133867,K ST NW,38.9025305821914,-77.02885594494398,39.17
K ST NW,38.9025305821914,-77.02885594494398,K ST NW,38.902529561153074,-77.02605085029978,0.37
K ST NW,38.902529561153074,-77.02605085029978,K ST NW,38.90252918192567,-77.03079290272323,0.14
K ST NW,38.90252918192567,-77.03079290272323,K ST NW,38.902418904292155,-77.03279183808971,40.17
K ST NW,38.902418904292155,-77.03279183808971,K ST NW,38.902530081520695,-77.03279564688437,40.49
K ST NW,38.902530081520695,-77.03279564688437,K ST NW,38.902522600026316,-77.03410725486437,2.72
K ST NW,38.902522600026316,-77.03410725486437,L ST NW,38.90375497506331,-77.0116198470928,448.85
L ST NW,38.90375497506331,-77.0116198470928,L ST NW,38.903738731690545,-77.0175520812348,5.92
L ST NW,38.903738731690545,-77.0175520812348,L ST NW,38.9041773838984,-77.02283993360287,159.77
L ST NW,38.9041773838984,-77.02283993360287,L ST NW,38.90374758995593,-77.0399569974948,156.54
L ST NW,38.90374758995593,-77.0399569974948,L ST NW,38.90374652027144,-77.05484476662859,0.39
L ST NW,38.90374652027144,-77.05484476662859,M ST NW,38.90536937241333,-77.05195728198673,591.07
M ST NW,38.90536937241333,-77.05195728198673,M ST NW,38.9056533643392,-77.02273167108686,103.44
M ST NW,38.9056533643392,-77.02273167108686,M ST NW,38.905664246855984,-77.01125735144736,3.96
M ST NW,38.905664246855984,-77.01125735144736,N ST NW,38.90681052783559,-77.0636852623379,417.5
N ST NW,38.90681052783559,-77.0636852623379,N ST NW,38.907250404418896,-77.04546196479602,160.21
N ST NW,38.907250404418896,-77.04546196479602,N ST NW,38.90724599983427,-77.02247628676162,1.6
N ST NW,38.90724599983427,-77.02247628676162,O ST NW,38.90777125106704,-77.06759753659635,191.31
O ST NW,38.90777125106704,-77.06759753659635,O ST NW,38.908494636023974,-77.05932408110023,263.47
O ST NW,38.908494636023974,-77.05932408110023,O ST NW,38.90857904073743,-77.01971781406341,30.74
O ST NW,38.90857904073743,-77.01971781406341,O ST NW,38.9085768776914,-77.04689693448309,0.79
O ST NW,38.9085768776914,-77.04689693448309,O ST NW,38.90870570950073,-77.03653037118575,46.92
O ST NW,38.90870570950073,-77.03653037118575,P ST NW,38.90866168054674,-77.08103210534662,16.04
P ST NW,38.90866168054674,-77.08103210534662,P ST NW,38.90875422552214,-77.06786528962125,33.71
