StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
49TH ST NE,38.8990677492467,-76.93221478292794,50TH ST NE,38.894081750680876,-76.92984220926132,675.26
50TH ST NE,38.894081750680876,-76.92984220926132,50TH ST NE,38.89919534050719,-76.92959109119688,71.48
50TH ST NE,38.89919534050719,-76.92959109119688,50TH ST NE,38.90570858692394,-76.92859169816425,284.44
50TH ST NE,38.90570858692394,-76.92859169816425,51ST ST NE,38.89883492977971,-76.92746505018435,320.63
51ST ST NE,38.89883492977971,-76.92746505018435,51ST ST NE,38.90482063492695,-76.92628124598464,336.92
51ST ST NE,38.90482063492695,-76.92628124598464,54TH ST NE,38.89826385259009,-76.92326777141281,857.6
54TH ST NE,38.89826385259009,-76.92326777141281,56TH ST NE,38.89691657416689,-76.92052106680008,781.75
56TH ST NE,38.89691657416689,-76.92052106680008,57TH ST NE,38.897451235999,-76.91915345491513,389.25
57TH ST NE,38.897451235999,-76.91915345491513,57TH ST NE,38.89552086063245,-76.91915080394604,0.75
57TH ST NE,38.89552086063245,-76.91915080394604,58TH ST NE,38.89456087152367,-76.91777946084484,390.32
58TH ST NE,38.89456087152367,-76.91777946084484,59TH ST NE,38.894828419448245,-76.91640955872495,389.91
59TH ST NE,38.894828419448245,-76.91640955872495,60TH ST NE,38.89465041401137,-76.91503810015759,390.36
60TH ST NE,38.89465041401137,-76.91503810015759,60TH ST NE,38.89030497572771,-76.91439760785369,182.3
60TH ST NE,38.89030497572771,-76.91439760785369,61ST ST NE,38.892951048666575,-76.91366376851857,208.88
61ST ST NE,38.892951048666575,-76.91366376851857,62ND ST NE,38.89316872845873,-76.91229630411856,389.23
62ND ST NE,38.89316872845873,-76.91229630411856,BURNS ST NE,38.89088743570393,-76.95031858511061,10822.44
BURNS ST NE,38.89088743570393,-76.95031858511061,CONGRESS ST NE,38.90412496990459,-77.0027792526339,14932.58
CONGRESS ST NE,38.90412496990459,-77.0027792526339,CORCORAN ST NE,38.91001993120162,-76.98776565242375,4272.73
CORCORAN ST NE,38.91001993120162,-76.98776565242375,CORCORAN ST NE,38.91193256609958,-76.98727288530313,140.23
CORCORAN ST NE,38.91193256609958,-76.98727288530313,EDGEWOOD ST NE,38.92447529372384,-76.99576681353764,2417.03
EDGEWOOD ST NE,38.92447529372384,-76.99576681353764,ELLIOTT ST NE,38.89815348039906,-76.98650615234806,2634.74
ELLIOTT ST NE,38.89815348039906,-76.98650615234806,FARRAGUT ST NE,38.95059425813529,-76.9991778077326,3606.54
FARRAGUT ST NE,38.95059425813529,-76.9991778077326,NORTH CAPITOL ST NE,38.90743258375426,-77.00892574880308,2772.36
NORTH CAPITOL ST NE,38.90743258375426,-77.00892574880308,NORTH CAPITOL ST NE,38.917320305956316,-77.00891622587987,2.71
NORTH CAPITOL ST NE,38.917320305956316,-77.00891622587987,REED ST NE,38.92324902340601,-76.99382976020826,4292.67
REED ST NE,38.92324902340601,-76.99382976020826,WARREN ST NE,38.89279838675241,-76.98647433098084,2092.72
1ST ST NW,38.89434759326567,-77.01216859447324,1ST ST NW,38.91510302717484,-77.01215922581295,2.67
1ST ST NW,38.91510302717484,-77.01215922581295,1ST ST NW,38.97026067733398,-77.01166805262456,139.76
1ST ST NW,38.97026067733398,-77.01166805262456,1ST ST NW,38.956876913061265,-77.01160244174976,18.65
1ST ST NW,38.956876913061265,-77.01160244174976,2ND ST NW,38.916807053402074,-77.01448092830651,818.58
2ND ST NW,38.916807053402074,-77.01448092830651,2ND ST NW,38.96431025503003,-77.01365042176948,236.31
2ND ST NW,38.96431025503003,-77.01365042176948,2ND ST NW,38.9705820639098,-77.01284912398656,227.85
